Gender,Age,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level
1,29,2,1120.2,14,4.6,1,25,2
0,34,1,780.5,11,4.1,0,18,1
1,43,0,510.75,9,3.4,1,42,0
0,30,2,1480.3,19,4.7,0,12,2
0,27,1,720.4,13,4.0,1,55,0
1,37,0,440.8,8,3.1,0,22,1
1,31,2,1150.6,15,4.5,1,28,2
0,35,1,800.9,12,4.2,0,14,1
1,41,0,495.25,10,3.6,1,40,0
0,28,2,1520.1,21,4.8,0,9,2
0,32,1,690.3,11,3.8,1,34,0
1,36,0,470.5,7,3.2,0,20,1
1,30,2,1200.8,16,4.3,1,21,2
0,33,1,820.75,13,4.4,0,15,2
1,42,0,530.4,9,3.5,1,38,0
0,29,2,1360.2,18,4.9,0,11,2
0,26,1,700.6,12,3.7,1,48,0
1,38,0,450.9,8,3.0,0,25,1
1,32,2,1170.3,14,4.7,1,29,2
0,34,1,790.2,11,4.0,0,16,1
1,43,0,505.75,10,3.3,1,41,0
0,30,2,1470.5,20,4.8,0,13,2
0,27,1,710.4,13,4.1,1,54,0
1,37,0,430.8,7,3.4,0,23,1
1,31,2,1140.6,15,4.6,1,27,2
0,35,1,810.9,12,4.3,0,13,1
1,41,0,485.25,9,3.6,1,39,0
0,28,2,1500.1,21,4.9,0,10,2
0,32,1,670.3,10,3.8,1,33,0
1,36,0,460.5,8,3.1,0,19,1
1,30,2,1190.8,16,4.5,1,20,2
0,33,1,830.75,13,4.2,0,14,2
1,42,0,520.4,9,3.5,1,37,0
0,29,2,1370.2,18,4.7,0,10,2
0,26,1,690.6,12,3.9,1,47,0
1,38,0,440.9,8,3.2,0,24,1
1,32,2,1160.3,14,4.4,1,22,2
0,34,1,800.2,11,4.1,0,17,1
1,43,0,500.75,10,3.3,1,40,0
0,30,2,1460.5,20,4.8,0,12,2
0,27,1,700.4,13,4.0,1,53,0
1,37,0,420.8,7,3.1,0,21,1
1,31,2,1130.6,15,4.5,1,26,2
0,35,1,820.9,12,4.3,0,12,1
1,41,0,480.25,9,3.6,1,38,0
0,28,2,1490.1,21,4.9,0,9,2
0,32,1,680.3,10,3.8,1,32,0
1,36,0,470.5,8,3.0,0,18,1
1,30,2,1180.8,16,4.7,1,19,2
0,34,1,790.2,11,4.0,0,15,1
1,43,0,505.75,10,3.3,1,39,0
0,30,2,1470.5,20,4.8,0,13,2
0,27,1,710.4,13,4.1,1,54,0
1,37,0,430.8,7,3.4,0,23,1
1,31,2,1140.6,15,4.6,1,27,2
0,35,1,810.9,12,4.3,0,13,1
1,41,0,485.25,9,3.6,1,39,0
0,28,2,1500.1,21,4.9,0,10,2
0,32,1,670.3,10,3.8,1,33,0
1,36,0,460.5,8,3.1,0,19,1
1,30,2,1190.8,16,4.5,1,20,2
0,33,1,830.75,13,4.2,0,14,2
1,42,0,520.4,9,3.5,1,37,0
0,29,2,1370.2,18,4.7,0,10,2
0,26,1,690.6,12,3.9,1,47,0
1,38,0,440.9,8,3.2,0,24,1
1,32,2,1160.3,14,4.4,1,22,2
0,34,1,800.2,11,4.1,0,17,1
1,43,0,500.75,10,3.3,1,40,0
0,30,2,1460.5,20,4.8,0,12,2
0,27,1,700.4,13,4.0,1,53,0
1,37,0,420.8,7,3.1,0,21,2
1,31,2,1130.6,15,4.5,1,26,2
0,35,1,820.9,12,4.3,0,12,1
1,41,0,480.25,9,3.6,1,38,0
0,28,2,1490.1,21,4.9,0,9,2
0,32,1,680.3,10,3.8,1,32,0
1,36,0,470.5,8,3.0,0,18,1
1,30,2,1180.8,16,4.7,1,19,2
0,34,1,790.2,11,4.0,0,15,1
1,43,0,505.75,10,3.3,1,39,0
0,30,2,1470.5,20,4.8,0,13,2
0,27,1,710.4,13,4.1,1,54,0
1,37,0,430.8,7,3.4,0,23,1
1,31,2,1140.6,15,4.6,1,27,2
0,35,1,810.9,12,4.3,0,13,1
1,41,0,485.25,9,3.6,1,39,0
0,28,2,1500.1,21,4.9,0,10,2
0,32,1,670.3,10,3.8,1,33,0
1,36,0,460.5,8,3.1,0,19,1
1,30,2,1190.8,16,4.5,1,20,2
0,33,1,830.75,13,4.2,0,14,2
1,42,0,520.4,9,3.5,1,37,0
0,29,2,1370.2,18,4.7,0,10,2
0,26,1,690.6,12,3.9,1,47,0
1,38,0,440.9,8,3.2,0,24,1
1,32,2,1160.3,14,4.4,1,22,2
0,34,1,800.2,11,4.1,0,17,1
1,43,0,500.75,10,3.3,1,40,0
0,30,2,1460.5,20,4.8,0,12,2
0,27,1,700.4,13,4.0,1,53,0
1,37,0,420.8,7,3.1,0,21,1
1,31,2,1130.6,15,4.5,1,26,2
0,35,1,820.9,12,4.3,0,12,1
1,41,0,480.25,9,3.6,1,38,0
0,28,2,1490.1,21,4.9,0,9,2
0,32,1,680.3,10,3.8,1,32,0
1,36,0,470.5,8,3.0,0,18,1
1,30,2,1180.8,16,4.7,1,19,2
0,34,1,790.2,11,4.0,0,15,1
1,43,0,505.75,10,3.3,1,39,0
0,30,2,1470.5,20,4.8,0,13,2
0,27,1,710.4,13,4.1,1,54,0
1,37,0,430.8,7,3.4,0,23,1
1,31,2,1140.6,15,4.6,1,27,2
0,35,1,810.9,12,4.3,0,13,1
1,41,0,485.25,9,3.6,1,39,0
0,28,2,1500.1,21,4.9,0,10,2
0,32,1,670.3,10,3.8,1,33,0
1,36,0,460.5,8,3.1,0,19,1
1,30,2,1190.8,16,4.5,1,20,2
0,33,1,830.75,13,4.2,0,14,2
1,42,0,520.4,9,3.5,1,37,0
0,29,2,1370.2,18,4.7,0,10,2
0,26,1,690.6,12,3.9,1,47,0
1,38,0,440.9,8,3.2,0,24,1
1,32,2,1160.3,14,4.4,1,22,2
0,34,1,800.2,11,4.1,0,17,1
1,43,0,500.75,10,3.3,1,40,0
0,30,2,1460.5,20,4.8,0,12,2
0,27,1,700.4,13,4.0,1,53,0
1,37,0,420.8,7,3.1,0,21,1
1,31,2,1130.6,15,4.5,1,26,2
0,35,1,820.9,12,4.3,0,12,1
1,41,0,480.25,9,3.6,1,38,0
0,28,2,1490.1,21,4.9,0,9,2
0,32,1,680.3,10,3.8,1,32,0
1,36,0,470.5,8,3.0,0,18,1
1,30,2,1180.8,16,4.7,1,19,2
0,34,1,790.2,11,4.0,0,15,1
1,43,0,505.75,10,3.3,1,39,0
0,30,2,1470.5,20,4.8,0,13,2
0,27,1,710.4,13,4.1,1,54,0
1,37,0,430.8,7,3.4,0,23,2
1,31,2,1130.6,15,4.5,1,26,2
0,35,1,820.9,12,4.3,0,12,1
1,41,0,480.25,9,3.6,1,38,0
0,28,2,1490.1,21,4.9,0,9,2
0,32,1,680.3,10,3.8,1,32,0
1,36,0,470.5,8,3.0,0,18,1
1,30,2,1180.8,16,4.7,1,19,2
0,34,1,790.2,11,4.0,0,15,1
1,43,0,505.75,10,3.3,1,39,0
0,30,2,1470.5,20,4.8,0,13,2
0,27,1,710.4,13,4.1,1,54,0
1,37,0,430.8,7,3.4,0,23,1
1,31,2,1140.6,15,4.6,1,27,2
0,35,1,810.9,12,4.3,0,13,1
1,41,0,485.25,9,3.6,1,39,0
0,28,2,1500.1,21,4.9,0,10,2
0,32,1,670.3,10,3.8,1,33,0
1,36,0,460.5,8,3.1,0,19,1
1,30,2,1190.8,16,4.5,1,20,2
0,33,1,830.75,13,4.2,0,14,2
1,42,0,520.4,9,3.5,1,37,0
0,29,2,1370.2,18,4.7,0,10,2
0,26,1,690.6,12,3.9,1,47,0
1,38,0,440.9,8,3.2,0,24,1
1,32,2,1160.3,14,4.4,1,22,2
0,34,1,800.2,11,4.1,0,17,1
1,43,0,500.75,10,3.3,1,40,0
0,30,2,1460.5,20,4.8,0,12,2
0,27,1,700.4,13,4.0,1,53,0
1,37,0,430.8,7,3.4,0,23,1
1,31,2,1140.6,15,4.5,1,27,2
0,35,1,820.9,12,4.3,0,12,1
1,41,0,480.25,9,3.6,1,38,0
0,28,2,1490.1,21,4.9,0,9,2
0,32,1,680.3,10,3.8,1,32,0
1,36,0,470.5,8,3.0,0,18,1
1,30,2,1180.8,16,4.7,1,19,2
0,34,1,790.2,11,4.0,0,15,1
1,43,0,505.75,10,3.3,1,39,0
0,30,2,1470.5,20,4.8,0,13,2
0,27,1,710.4,13,4.1,1,54,0
